Locations,Season,Leg,Longitude,Latitude
Pasay Coconut Palace ,5,11,120.9799,14.55515
Manila Rizal Park  Jose Rizal Monument,5,12,120.9842,14.59951
Pasay A Soriano Aviation,5,12,120.9875,14.55052
 Manila Ninoy Aquino International Airport ,5,12,121.0165,14.51227
El Nido El Nido Pier,5,12,119.4112,11.20567
El Nido Island ,5,12,119.357,11.21824
El Nido Island ,5,12,119.357,11.21824
El Nido Lagen Wall ,5,12,119.4623,11.20971
El Nido Lagen Island ,5,12,119.3976,11.08721
 El Nido Airport ,5,13,119.4165,11.20215
Banff Springs,5,13,-79.38055,43.65651
Banff Springs Hotel  ,5,13,-115.5627,51.16406
Banff National Park Sunshine Village  Lookout Mountain,5,13,-85.35774,34.97758
Calgary Canada Olympic Park  ,5,13,-114.2214,51.08209
 Calgary Canada Olympic Park ,5,13,-114.2214,51.08209
Calgary International Airport,5,13,-114.0169,51.12506
Fort Worth Fort Worth Stockyards  Cowtown Cattlepen Maze,5,13,-97.33077,32.75549
Dallas Trammell Crow Park ,5,13,-96.79699,32.77666
Chicago Illinois United States  Buckingham Fountain ,6,1,-87.61895,41.87579
 Chicago O'Hare International Airport,6,1,-87.90732,41.97416
Seljalandsfoss waterfall,6,1,-19.98995,63.61589
Vatnajökull,6,1,-16.7902,64.42197
Jokulsarlon Glacier,6,1,-16.21167,64.07028
Grindavik ,6,1,-22.43838,63.84418
 Reykjavik Keflavik International Airport ,6,2,-22.62341,63.99614
Oslo Holmenkollen ski jump ,6,2,10.75225,59.91387
Brandbu Village ,6,2,10.50344,60.42259
 Honefoss Train Station ,6,2,10.24919,60.16903
Voss Bridge ,6,2,-97.54555,27.99248
Voss Nesheimstunet Farm ,6,2,6.422151,60.62956
 Voss Train Station ,6,3,6.41036,60.62884
Oslo Central Station ,6,3,10.75246,59.9111
Stockholm Nordic Sea Hotel  Ice Bar,6,3,18.06858,59.32932
Stockholm Kungens Kurva IKEA ,6,3,17.91401,59.27103
Stockholm Central Station ,6,3,18.0583,59.3303
Upplands Vasby Bogs Gard Farm  ,6,3,17.92834,59.51961
Haggvik Station,6,3,17.93227,59.44437
Stockholm af Chapman ,6,3,18.06858,59.32932
Stockholm Town Hall Tower,6,4,18.06858,59.32932
Stockholm Arlanda Airport ,6,4,17.92378,59.64976
Dakar Bel Aire Cemetery,6,4,-17.36603,14.7645
Kayar ,6,4,-17.12039,14.91654
Lac Rose,6,4,-17.23413,14.83878
 Goree Island ,6,4,-17.39893,14.66786
Goree Island Slave House,6,5,-17.39893,14.66786
 Goree Island,6,5,-17.39893,14.66786
 Dakar Leopold Sedar Senghor International Airport ,6,5,-17.49019,14.74498
Berlin Warschauer Strabe station,6,5,13.45165,52.50598
Berlin East Side Gallery,6,5,13.4397,52.50502
Berlin Broken Chain Sculpture,6,5,13.40495,52.52001
 Berlin Brauhaus Spandau bar ,6,5,13.40495,52.52001
Berlin Teufelsberg ,6,5,13.24111,52.49722
Berlin Brandenburg Gate ,6,5,13.3777,52.51627
Berlin Checkpoint Charlie,6,6,13.39037,52.50759
Berlin Olympic Stadium ,6,6,13.2395,52.5147
 Berlin Berlin Tegel Airport ,6,6,13.28844,52.55883
Eger Castle ,6,6,20.37964,47.90405
 Eger Railway Station ,6,6,20.37723,47.90253
Budapest Net Klub Internet Kafe,6,6,19.04023,47.49791
Budapest Heritage Rail Museum,6,6,19.04023,47.49791
Budapest Buda Castle ,6,6,19.03957,47.4962
Budapest Margit Island  ,6,6,19.04639,47.52664
Budapest Gundel Restaurant ,6,6,19.04023,47.49791
Budapest Fisherman's Bastion ,6,6,19.03478,47.50218
Budapest Promontor Borudvar,6,7,19.04023,47.49791
 Budapest Budapest Ferihegy International Airport ,6,7,19.2523,47.43846
Ajaccio Napoleon's Birthplace,6,7,8.738635,41.91923
Ajaccio Harbor ,6,7,8.738635,41.91923
Calvi Camp Raffalli ,6,7,8.794774,42.56242
Zilia Winery ,6,7,8.903229,42.52968
Llle Rousse La Pietra ,6,7,8.934053,42.64374
 Calvi ,6,8,8.757222,42.56765
Nice City Garden  Statue of Albert I,6,8,7.261953,43.71017
Nice Cote d'Azur Airport ,6,8,7.206152,43.65954
 Addis Ababa Bole International Airport,6,8,38.8,8.976944
Lalibela Lewz Village ,6,8,39.04763,12.0309
Lalibela St George's Church  ,6,8,39.04763,12.0309
Lalibela,6,8,39.04763,12.0309
Lalibela Airport,6,9,38.98115,11.9752
Addis Ababa Stadium,6,9,38.75678,9.013065
 Addis Ababa Bole International Airport ,6,9,38.8,8.976944
 Colombo Fort Railway Station ,6,9,79.85051,6.933492
Galle Fort Galle,6,9,80.21749,6.026678
 Galle Coconut plantation ,6,9,80.22098,6.053519
 Galle Bus Station,6,9,80.21566,6.03293
Kandy Kandyan Art Association ,6,9,80.64241,7.291974
Kandy Temple of the Tooth,6,9,80.64097,7.293179
 Kandy Bus Station,6,9,80.44868,7.25162
Sigiriya Lion Rock ,6,9,80.75983,7.956738
Hotel Sigiriya ,6,9,80.76799,7.951305
 Colombo Bandaranaike International Airport,6,10,79.88425,7.180155
Shanghai Yuyuan Garden,6,10,121.4874,31.22811
Shanghai Huaneng Union Tower ,6,10,121.508,31.23913
 Shanghai HuaXia Bank Tower,6,10,121.4737,31.23042
Huangpu District Shanghai People's Heroes Monument,6,10,121.4844,31.23176
Shanghai End of Jiangpu Road ,6,10,121.5219,31.26675
Shanghai Peace Hotel South ,6,10,121.4893,31.23865
 Shanghai Shanghai Railway Station,6,11,121.4562,31.25134
Xi'an Drum Tower,6,11,108.9434,34.26072
 Xi'an BYD Auto Factory or Xi'an Tang Du Factory,6,11,108.9402,34.34157
Xi'an Terra Cotta Warriors Museum  Pit 1,6,11,108.9402,34.34157
Huayin Mount Hua  North Peak ,6,11,110.0694,34.47889
Xi'an Xi'an City Wall  South Gate ,6,11,108.9528,34.25205
 Xi'an Xi'an Xianyang International Airport to Honolulu Hawaii USA  Honolulu International Airport,6,12,-157.9251,21.32451
Honolulu Puu Ualakaa State Park,6,12,-157.8249,21.31254
 Honolulu Hilo Hattie ,6,12,-157.8583,21.30694
Honolulu Kamaka Air ,6,12,-157.8583,21.30694
Kaneohe Kaneohe Bay,6,12,-157.8033,21.4625
 Honolulu Honolulu International Airport ,6,12,-157.9251,21.32451
Chicago Water Tower,6,12,-87.62236,41.89792
Chicago Gino's East,6,12,-87.6298,41.87811
Chicago Ping Tom Memorial Park ,6,12,-87.63437,41.85783
Long Beach California United States  Shoreline Aquatic Park near the Aquarium of the Pacific and Queen Mary ship ,7,1,-118.1937,33.77005
Los Angeles International Airport ,7,1,-118.4085,33.94159
Lima Plaza de Armas,7,1,-76.96476,-12.04961
Ancón Lima Playa Hermosa Overnight Rest,7,1,-77.11288,-11.83613
Jorge Chávez International Airport ,7,1,-77.11204,-12.02405
Huambutio Virgen del Carmen Kiosk,7,1,-77.08931,-11.94796
Huambutio Gorge ,7,1,-72.10829,-15.73144
Huambutio Police Station,7,1,-72.10829,-15.73144
Pisac Marketplace,7,1,-71.85778,-13.42417
Cuzco Convento de La Merced ,7,1,-120.483,37.30216
 Cuzco Terminal Terrestre Cusco,7,2,-71.96551,-13.5347
Arequipa Sindicato Unico de Lustradores de Calzado  Shoe Shine Union ,7,2,-71.53745,-16.40905
 Arequipa Rodriguez Ballon International Airport ,7,2,-71.56799,-16.34481
Santiago Cerro San Cristobal  Virgin Mary statue,7,2,-70.63291,-33.42514
 Santiago Mercado Central or Libreria Chilena and Biblioteca del Congreso Nacional,7,2,-70.65103,-33.43368
Santiago Cerro Santa Lucía  Neptune fountain ,7,2,-70.644,-33.44
Santiago Paseo Bulnes,7,3,-70.65274,-33.44867
Mendoza Argentina  Puente Viejo old bridge  ,7,3,-68.84405,-32.89018
Mendoza Camping Suizo ,7,3,-68.89735,-32.85545
Mendoza Estancia San Isidro ,7,3,-68.84405,-32.89018
Lunlunta Cabana La Guatana Gaucho ranch ,7,4,-68.81668,-33.03333
 Mendoza City Gabrielli Airport ,7,4,-68.79402,-32.83241
Retiro Plaza de la Fuerza Aérea Spanish  English Clock Tower,7,4,-58.37583,-34.59472
Estación Retiro,7,4,-58.37489,-34.58782
Tigre docks ,7,4,-58.57966,-34.42509
Vicente Casares,7,4,-58.37443,-34.96741
 Buenos Aires Ministro Pistarini International Airport ,7,5,-58.53483,-34.815
Soweto Orlando Power Station ,7,5,27.92673,-26.25436
 Krugersdorp Wild Caves ,7,5,27.76667,-26.1
Soweto Baragwanath Market ,7,5,27.85403,-26.24854
Soweto Orlando Children's Home,7,5,27.92024,-26.23865
 Ngakane Street  Soweto Overlook ,7,5,27.91101,-26.23658
Krugersdorp Rhino  Lion Game Reserve,7,6,27.78962,-25.97707
 Johannesburg Johannesburg International Airport,7,6,28.24681,-26.13938
 Gaborone Botswana Railway ,7,6,25.90433,-24.6613
 Francistown,7,6,27.5125,-21.17361
Gweta ,7,6,25.25412,-20.21117
Xau Xarra Cattle Post ,7,6,24.68487,-22.32847
Makgadikgadi Pans 3,7,6,24.90649,-20.28334
Sankuyo Village ,7,7,23.87444,-19.42861
Khwai River ,7,7,23.65431,-19.17256
Khwai River Lodge ,7,7,23.78282,-19.15048
Lucknow Bara Imambara,7,8,80.94668,26.84651
Lucknow Kohinoor Steel Emporium  ,7,8,80.94668,26.84651
Lucknow Indane Bhushan Gas Service Aishbagh,7,8,80.94668,26.84651
 Lucknow KK Jaiswal Charcoal Merchants or Sharma Tea Corner,7,8,80.94668,26.84651
Lucknow Rooftop of Charbagh Multistory Flats ,7,8,80.94668,26.84651
 Lucknow Charbagh Railway Station ,7,8,80.92561,26.83107
Jodhpur Sardar Market ,7,8,88.34886,22.5155
Jodhpur Kailashoham Gaure Shwar Mahadev Mandir ,7,8,73.02431,26.23895
 Jodhpur Shri Kunj Bihari Temple ,7,8,73.01991,26.29353
Jodhpur Deora Krishi Farm ,7,8,73.02431,26.23895
Jodhpur Jaswant Thada ,7,8,73.02494,26.30387
 Jodhpur Jodhpur Airport ,7,9,73.04986,26.2521
 Istanbul Hafif Metro ,7,9,28.97696,41.00527
Istanbul Kz Kulesi,7,9,29.00411,41.02112
Istanbul Galata Kulesi,7,9,28.97417,41.02563
 Fatih Istanbul Binbirdirek Cistern ,7,9,28.97437,41.00758
Istanbul Rumeli Hisar  ,7,9,29.05604,41.08482
Istanbul Sirkeci Train Station,7,10,28.97589,41.01517
 Istanbul Atatürk International Airport ,7,10,28.81044,40.98299
Westminster Abbey Road,7,10,-72.562,43.04943
Lambeth London Eye,7,10,-0.119543,51.50332
Lambeth London Marriott Hotel County Hall,7,10,-0.1230681,51.45715
Wandsworth London Battersea Park,7,10,-0.14823,51.47799
Greenwich Millennium Dome  North Greenwich Coach Park  ,7,10,-0.0076589,51.48258
Southwark Potters Fields Park ,7,10,-0.0783011,51.50425
 London Heathrow International Airport ,7,11,-0.4542955,51.47002
Port Antonio Frenchman's Cove  ,7,11,-76.40092,18.17519
Port Antonio Grant's Level High ,7,11,-76.45025,18.1757
Montego Bay Round Hill ,7,11,-77.91667,18.46667
Lucea ,7,12,-78.17639,18.45042
Lucea ,7,12,-78.17639,18.45042
Montego Bay Rose Hall ,7,12,-77.90283,18.47484
 Montego Bay Sangster International Airport ,7,12,-77.91443,18.50226
San Juan Castillo de San Felipe del Morro Fort,7,12,-68.52141,-31.52727
Aguadilla El Muelle de Azucar  Abandoned Sugar Refinery ,7,12,-67.15407,18.42745
Luis Munoz Marin International Airport ,7,12,-66.00167,18.43917
Miami Rickenbacker Causeway,7,12,-80.19689,25.74608
Miami Little Havana  El Rey de los Habanos,7,12,-80.19179,25.76168
Fort Lauderdale Bonnet House ,7,12,-80.10569,26.13518
Empire Fulton Ferry State Park,8,1,-73.99338,40.70422
New York City SoHo  Eastern Mountain Sports,8,1,-74.00594,40.71278
New York City Hot Dog Stand on East 91st Street,8,1,-74.00594,40.71278
 Washington Crossing Historic Park ,8,1,-74.85949,40.31223
Philadelphia Fairmount Park  Belmont Plateau Overnight Rest,8,1,-75.16522,39.95258
Mount Joy Brubaker Family Farm ,8,1,-76.5033,40.10982
Lancaster Rohrer Family Farm ,8,1,-76.30551,40.03788
York Shoe House Road  Haines Shoe House,8,2,-76.63716,39.999
Washington DC  United States Capitol  Reflecting Pool,8,2,-77.0138,38.88981
Washington DC 3rd Street,8,2,-77.01605,38.9555
Washington DC Tidal Basin ,8,2,-77.03846,38.88408
Welbourne Manor  ,8,2,-89.67772,35.26601
Dulles International Airport ,8,3,-77.45654,38.95312
Charleston The Battery,8,3,-79.93543,32.77072
 Mount Pleasant Wando Shrimp Co ,8,3,-79.82843,32.83232
 Charleston Charleston Visitor Center to Huntsville Alabama ,8,3,-86.5861,34.73037
Huntsville US Space  Rocket Center  Edward O Buckbee Hangar ,8,3,-86.5861,34.73037
Huntsville US Space  Rocket Center  Rocket Park  Saturn V,8,3,-86.5861,34.73037
Huntsville US Space  Rocket Center  Space Shuttle Pathfinder ,8,3,-86.5861,34.73037
Anniston World's Largest Office Chair ,8,4,-85.83163,33.65983
Talladega International Motorsports Hall of Fame,8,4,-86.07242,33.57829
Talladega Superspeedway,8,4,-88.1279,44.40925
Hattiesburg Mississippi  ,8,4,-89.29034,31.32712
Richland BP gas station,8,4,-119.2845,46.28569
Fairview Riverside State Park ,8,4,-90.14035,30.40908
New Orleans French Quarter  Preservation Hall ,8,4,-90.07153,29.95107
 New Orleans Louis Armstrong International Airport ,8,5,-90.25901,29.9922
 Panama City ,8,5,-79.51667,8.983333
Barro Colorado Island Smithsonian Tropical Research Institute,8,5,-79.84648,9.152102
Balboa Pier 12 Panama Canal ,8,5,-79.72405,9.142276
 Panama City Casco Viejo or El Parque Metropolitan,8,5,-79.51667,8.983333
Panama City Estadio Juan Demostenes Arosemena ,8,5,-79.51667,8.983333
Panama City Miraflores Locks ,8,5,-79.5912,8.997297
 Panama City Terminal Nacional de Trasporte ,8,6,-79.55139,8.974506
San Jose Parqueo Publico Adrian,8,6,-121.8863,37.33821
Poas Volcano National Park ,8,6,-84.23842,10.19811
Alajuela Doka Estate  ,8,6,-84.24656,10.07124
Jaco Roca Loca Surf Shop,8,6,-84.63333,9.616667
Manuel Antonio National Park ,8,6,-84.13699,9.392308
Quepos Malecon ,8,6,-82.37433,23.14205
Quepos Playa Maracas,8,7,-84.82942,9.977844
Grecia La Iglesia de Metal,8,7,-84.31095,10.07291
 Sarchi Taller Eloy Alfaro ,8,7,-84.34763,10.08984
Santamaria International Airport ,8,7,-84.20408,9.998238
Chandler Bondurant Superkart School ,8,7,-111.8413,33.30616
Fountain Hills Fort McDowell Adventures ,8,7,-111.72,33.6
Mesa Phoenix Mesa Gateway Airport  Fighter Combat International ,8,8,-111.6578,33.30868
Grand Canyon Lipan Point,8,8,-111.8532,36.03304
Page Glen Canyon Dam ,8,8,-111.4844,36.9375
Page Antelope Point  Lake Powell ,8,8,-111.2428,37.06789
Monument Valley Utah  John Ford's Point,8,9,-110.1735,37.00425
Arches National Park Elephant Butte,8,9,-109.5401,38.69581
Moab Gemini Bridges ,8,9,-109.7072,38.58583
Green River Green River State Park Overnight Rest,8,9,-110.1547,38.99003
Heber City 970 Little Sweden Rd,8,9,-111.3992,40.46358
Park City Utah Olympic Park  ,8,9,-111.5626,40.70988
Salt Lake City Rooftop of City Library ,8,9,-111.891,40.76078
Park City Park City High School,8,10,-108.8786,45.63938
Heber City Heber Valley Railway ,8,10,-111.4245,40.50223
Bonneville Salt Flats Tree of Utah,8,10,-111.0937,39.32098
Garden City Bear Lake Rendezvous Beach,8,10,-73.6343,40.72677
Big Piney Wyoming  Dunham Ranch ,8,10,-110.1143,42.53828
Yellowstone National Park Old Faithful,8,10,-110.8281,44.46048
Moran Pinto Ranch ,8,10,-110.4721,43.83319
Dubois Turtle Ranch Overnight Rest,8,11,-109.7101,43.64542
Dubois Open Plateau ,8,11,-109.6304,43.53357
Cody Irma Hotel,8,11,-109.0647,44.52575
Red Lodge Mountain Golf Course  Tenth Tee ,8,11,-109.2468,45.18578
Absarokee Larry Arnold's Green Meadow Ranch ,8,11,-109.4429,45.5205
Billings Logan International Airport,8,12,-108.5392,45.80907
Montreal Square Victoria Metro Station  ,8,12,-73.56213,45.50144
 Sainte Anne de Bellevue Mac donald Campus ,8,12,-73.93859,45.40723
Montreal Expo 67  American pavilion,8,12,-73.56726,45.50169
Montreal Trapezium  La Porte J ,8,12,-73.56726,45.50169
Montreal Olympic Park  Olympic Stadium,8,12,-73.56726,45.50169
 Montreal St Hubert Airport ,8,12,-73.41346,45.51994
Toronto CN Tower,8,12,-79.38706,43.64257
Toronto Polson Pier,8,12,-79.38318,43.65323
 Toronto Queens Quay Sailing,8,12,-79.38661,43.63863
Queenston ,8,12,-79.05724,43.16422
Joseph Davis State Park  ,8,12,-79.03908,43.2139
Red Rocks Park  ,9,1,-105.2049,39.66647
Denver International Airport ,9,1,-104.6737,39.8561
Sao Paulo Hotel Unique,9,1,-46.63331,-23.55052
Sao Paulo Viaduto Santa Efigenia,9,1,-46.63664,-23.54161
 Sao Paulo Caverna Moto Pecas,9,1,-46.63331,-23.55052
Sao Paulo Santa Cecilia  114A Rua Frederico Abranches,9,1,-46.64829,-23.54097
Sao Paulo Estadio Municipal Paulo Machado de Carvalho ,9,1,-46.66526,-23.54711
Edifício Copan,9,2,-46.64437,-23.54662
 Sao Paulo ,9,2,-46.63331,-23.55052
Brotas,9,2,-48.12557,-22.27996
 Brotas ,9,2,-48.12557,-22.27996
Brotas ,9,2,-48.12557,-22.27996
Brotas ,9,3,-48.12557,-22.27996
 Brotas ,9,3,-48.12557,-22.27996
 Sao Paulo Guarulhos International Airport ,9,3,-46.47813,-23.43455
Moscow Chaika Bassein ,9,3,37.6173,55.75583
Moscow Novodevichiy Monastery  Smolensk Cathedral,9,3,37.6173,55.75583
 Moscow Dubrovka Theatre Russian,9,3,37.6173,55.75583
Moscow St Basil's Cathedral Red Square ,9,3,37.62309,55.75252
 Moscow Sheremetyevo International Airport ,9,4,37.4125,55.97365
 Frankfurt am Main Flughafen Fernbahnhof station ,9,4,8.682127,50.11092
Stuttgart Mercedes Benz Headquarters,9,4,9.182932,48.77585
Bad Tolz Ellbach Field ,9,4,11.56515,47.76147
Grunwald Bavaria Film Studios ,9,4,11.53214,48.04411
Munich Siegestor ,9,4,11.58215,48.15236
Munich International Airport,9,5,11.77503,48.35366
Palermo Teatro Massimo,9,5,13.33393,38.16154
Castellammare del Golfo Fortress  Seaside Terrace,9,5,12.88093,38.02649
 Castellammare del Golfo Premiata Fonderia Birrione Campane ,9,5,12.88093,38.02649
Segesta Teatro di Segesta  ,9,5,12.83598,37.94186
Segesta Tempio di Segesta ,9,5,12.83248,37.94143
Catania Anfiteatro Romano ,9,6,15.0854,37.50745
 Catania ,9,6,15.08303,37.50788
Siracusa Ponte Umbertino Italian ,9,6,15.29082,37.06474
Siracusa Fonte Aretusa ,9,6,15.29291,37.05726
Siracusa railway station,9,7,15.28659,37.07547
Rome Trevi Fountain,9,7,12.48331,41.90093
Rome Spanish Steps,9,7,12.48278,41.90599
 Rome Leonardo da Vinci International Airport ,9,7,12.24624,41.79989
Athens Ancient Agora,9,7,23.72662,37.97421
Athens Stamatopoulos Taverna ,9,7,23.72936,37.98392
 Agioi ,9,7,24.51883,37.95773
Corinth Canal,9,7,22.96359,37.94915
 Nemea Ancient stadium,9,7,22.71054,37.80905
Rio Fortress of Rion ,9,7,21.78092,38.30196
 Rio Antirrio bridge ,9,8,21.77371,38.32059
Athens International Airport,9,8,23.94842,37.93565
Muscat Riyam Park,9,8,58.5776,23.62218
Sur Baith Al Battha ,9,8,39.82552,21.41877
Al Hawiyah Shuwa Area ,9,8,55.7999,24.25
Jabrin Jabreen Castle ,9,8,57.30075,22.96446
 Muscat Seeb International Airport ,9,9,58.28167,23.59278
Perth Kings Park War Memorial ,9,9,115.8447,-31.96087
 Fremantle Rottnest Express ,9,9,115.7472,-32.05604
Rottnest Island Wadjemup Lighthouse,9,9,115.54,-31.99693
 Rottnest Island Salmon Bay,9,9,115.54,-31.99693
 Rottnest Island ,9,9,115.54,-31.99693
Fremantle Prison ,9,9,115.7537,-32.05498
Fremantle Sailing Club ,9,9,115.751,-32.07
Perth Swan Bells Tower,9,10,115.857,-31.95351
Perth Airport ,9,10,115.9672,-31.93855
Darwin Crocodylus Park,9,10,130.9277,-12.41271
Batchelor Airstrip  ,9,10,130.9277,-12.41271
Batchelor Litchfield National Park  ,9,10,131.0249,-13.04597
Batchelor Litchfield National Park  ,9,10,131.0249,-13.04597
Darwin ,9,10,130.8418,-12.46283
Darwin International Airport ,9,11,130.877,-12.40767
 Bangkok Mo Chit Bus Terminal,9,11,100.5018,13.75633
 Lopburi ,9,11,100.6534,14.79951
Lopburi Prang Sam Yot ,9,11,100.6132,14.80472
 Pak Kret Wat Sanam Nua Pier ,9,11,100.5426,13.8995
Ko Kret Island Buddha Garden ,9,11,100.4762,13.91145
Bangkok Marble Temple ,9,11,100.5018,13.75633
Ayutthaya Province,9,12,100.569,14.35321
Don Mueang International Airport,9,12,100.6042,13.91326
Shibuya Sakamoto Building,9,12,139.6982,35.66404
Shibuya Shibuya Scramble Crossing,9,12,139.7018,35.65978
Shibuya Hachik Statue,9,12,139.6982,35.66404
Hamarikyu Gardens,9,12,139.7635,35.65974
Shinjuku Capsule Land Hotel ,9,12,139.7035,35.69384
Fujiyoshida Fujikyu Highland Amusement Park ,9,12,138.8079,35.4875
Yamanakako Lake Yamanaka ,9,12,138.8775,35.41855
 Tokyo Narita International Airport,9,13,139.6917,35.68949
Anchorage Mirror Lake ,9,13,-149.414,61.42565
Anchorage Kincaid Park,9,13,-150.0381,61.15411
 Ted Stevens Anchorage International Airport,9,13,-149.9901,61.17589
Golden Clear Creek History Park,9,13,-105.226,39.75544
Morrison Red Rocks Park ,9,13,-105.1979,39.66811
Seattle Gas Works Park ,10,1,-122.3344,47.64563
Tacoma International Airport ,10,1,-122.3088,47.45025
Beijing Gold House Restaurant ,10,1,116.4074,39.90421
Beijing Forbidden City  Meridian Gate ,10,1,116.4074,39.90421
Beijing Houhai  North Bank Road,10,1,116.4074,39.90421
 Beijing Run De Li Market ,10,1,116.4074,39.90421
Juyongguan ,10,1,116.0639,40.28976
 Beijing ,10,2,116.4074,39.90421
 Erenhot Erlian Train Station ,10,2,111.987,43.65753
Ulaanbaatar Choijin Lama Monastery,10,2,106.9185,47.91461
Terelj National Park ,10,2,107.6852,48.15365
Gachuurt Ulaanbaatar Hotel Mongolia  ,10,2,107.1414,47.92417
Ulaanbaatar Chinggis Khaan Hotel,10,3,106.92,47.92
 Ulaanbaatar Chinggis Khaan International Airport ,10,3,106.7674,47.843
 Hanoi Hilton,10,3,105.8464,21.02493
Hanoi Old Quarter ,10,3,105.8342,21.02776
 Hanoi Ben Xe Gia Lam Bus Station,10,3,105.8791,21.04716
Ph Vac Dinh Vac Temple,10,3,109.557,22.27165
Nha Tho,10,3,105.7555,10.4673
Canh Dong Dia ,10,3,105.7591,20.95819
Hanoi Ly Thai ,10,4,105.8565,21.02585
 Hanoi Ben Xe Gia Lam Bus Terminal ,10,4,105.8342,21.02776
Ha Long Hydrofoil Harbor ,10,4,107.0233,20.95709
 Ha Long Ha Long Bay  Hon Yen Ngua,10,4,107.0232,20.95728
Ha Long Ha Long Bay  Sung Sot Cave ,10,4,107.0913,20.84419
Ha Long Ha Long Bay  Soi Sim Island ,10,4,107.0739,20.84998
 Haiphong Haiphong Train Station ,10,5,106.6874,20.85608
 Hanoi Noi Bai International Airport ,10,5,105.8042,21.21871
 Chennai ,10,5,80.27072,13.08268
Mamallapuram Vallavar Arts  Crafts,10,5,80.19271,12.62693
 Mamallapuram Madras Crocodile Bank ,10,5,80.24015,12.74287
 Mamallapuram to Chennai,10,5,81.08189,9.648341
Chennai Karthik Driving School ,10,5,80.14236,13.11987
Chennai Chettinad House ,10,5,80.26771,13.01655
 Chennai Chennai International Airport,10,6,80.17087,12.99411
Kuwait City 6th Ring Road ,10,6,48.04081,29.26494
Kuwait Towers ,10,6,48.00306,29.39
Kuwait City Souk AlGharabally,10,6,47.97741,29.37586
 Kuwait City Souk Sulabiya ,10,6,47.97741,29.37586
Al Sadiq,10,6,40.40351,21.26738
 Kuwait City Kuwait International Airport ,10,7,47.97125,29.24012
Grand Baie Isla Mauritia boat,10,7,57.58442,-20.00742
Port Louis Merville Beach Hotel  Unaired,10,7,57.51667,-20.16667
Case Noyale Post Office,10,7,57.36802,-20.41389
lle aux Benitiers,10,7,57.34541,-20.41705
Bel Ombre Chateau Bel Ombre ,10,7,57.41275,-20.50198
 Plaine Magnien Sir Seewoosagur Ramgoolam International Airport ,10,8,57.67498,-20.43077
Antananarivo Lac Anosy  Black Angel statue  ,10,8,47.51667,-18.93333
Analakely Market ,10,8,47.53422,-18.91797
Antananarivo Tohotohobato Ambondrona Analakely ,10,8,47.51667,-18.93333
Antananarivo Cathedral Andohalo ,10,8,47.51667,-18.93333
 Antananarivo Ivato International Airport,10,9,47.47611,-18.79639
Helsinki Kappeli Café,10,9,24.95032,60.16732
 Helsinki Helsinki Central railway station ,10,9,24.94102,60.17332
Ylojarvi Soppeenharjun Koulu Finnish ,10,9,23.59605,61.54953
 Tampere Tampere railway station ,10,9,23.76103,61.49815
Lohja Tytyri Limestone Mine ,10,9,24.0675,60.25117
 Helsinki Olympic Stadium Tower,10,9,24.94102,60.17332
Helsinki Vantaa International Airport ,10,9,25.03773,60.29337
Oster Chernihiv Oblast 169th District Training Centre Ukrainian Ground Forces ,10,9,30.88111,50.94861
Kiev Apartment 33,10,9,30.5234,50.4501
 Kiev Dance  Groove or Ukrainian National Music Academy,10,9,30.5234,50.4501
Kiev Great Patriotic War Museum ,10,9,30.5234,50.4501
 Kiev Boryspil Airport,10,10,30.89393,50.33822
Ouarzazate Kasbah Antiquittes du Sud,10,10,-6.937016,30.93354
Ouarzazate Atlas Film Studios  ,10,10,-6.937016,30.93354
Idelssan Cafe La Pirgola,10,10,-6.937016,30.93354
Ouarzazate North Africa ,10,10,-6.937016,30.93354
Marrakech in the Atlas Mountains Nomadic Berber Camp ,10,10,-8.008889,31.63
Casablanca Quartier des Habous ,10,11,-7.589843,33.57311
 Casablanca Mohammed V International Airport,10,11,-7.581667,33.36417
Barcelona Parc del Laberint d'Horta,10,11,2.146275,41.43983
 Barcelona Las Ramblas Maremagnum Bridge Spanish ,10,11,2.174066,41.38034
Barcelona Palau Nacional de Montjuic ,10,11,2.15218,41.36829
Barcelona Sagrada Familia,10,12,2.174356,41.40363
Barcelona Airport ,10,12,2.083294,41.29745
Eiffel Tower,10,12,2.294481,48.85837
Gare Saint Lazare,10,12,2.325271,48.87668
Carpiquet Airport ,10,12,-0.459057,49.18251
 Gare de Bayeux ,10,12,-0.698121,49.2697
Paris Place de la Concorde,10,12,2.321236,48.86563
 Paris Quai d'Orleans Pont de la Tournelle ,10,12,2.354153,48.85163
Charles de Gaulle Airport,10,12,2.547925,49.00969
Manhattan Daily News Building,10,12,-73.95972,40.79028
Manhattan,10,12,-73.95972,40.79028
Garrison St Basil Academy ,10,12,-73.93679,41.39757
Palmetto Bay Florida,11,1,-80.32477,25.62177
Miami International Airport,11,1,-80.28705,25.79586
Quito Plaza de San Francisco,11,1,-78.51479,-0.2206897
Quito Pim's Restaurant ,11,1,-77.02157,-12.06937
Napo Province Cotopaxi National Park  ,11,1,-78.42972,-0.7007416
Napo Province Cotopaxi National Park  ,11,1,-78.42972,-0.7007416
 Quito Mariscal Sucre International Airport ,11,2,-78.35861,-0.1133333
Santiago Codelco Corporate Headquarters ,11,2,-70.65476,-33.44003
 Santiago Comodoro Arturo Merino BenItez International Airport ,11,2,-70.79357,-33.39673
