Locations,Season,Leg,Longitude,Latitude
Swakopmund Matterhorn Sand Dune at D1984 ,2,4,14.53333,-22.68333
Spitzkoppe,2,4,15.19417,-21.82472
Spitzkoppe ,2,4,15.19417,-21.82472
Near Windhoek Amani Lodge ,2,4,17.08361,-22.57
 Windhoek Windhoek Hosea Kutako International Airport ,2,5,17.47083,-22.48
 Bangkok BTS Skytrain  Siam Station,2,5,100.5423,13.77592
Bangkok Wat Ratchanadda  Amulet Market ,2,5,100.5018,13.75633
 Bangkok Bird Market,2,5,100.5018,13.75633
 Bangkok Sai Tai Mai,2,5,100.5113,13.74067
Ratchaburi6 Wat Kao Chong Phran ,2,5,99.76966,13.71844
Plai Pong,2,5,98.24694,19.2901
Bangkok Pak Khlong Talad Flower Market ,2,6,100.5018,13.75633
 Bangkok Hua Lam Phong Railway Station,2,6,100.5168,13.73899
Chiang Mai Old Bridge on Ban Muang Kut Maetang River Camp ,2,6,98.98172,18.70606
Chiang Mai Province Mae Ping Village ,2,6,98.9595,19.03793
Chiang Mai Province Karen Village ,2,6,98.99313,18.78775
Chiang Mai Seven Spires,2,7,98.98172,18.70606
 Chiang Mai Chiang Mai International Airport,2,7,98.96401,18.76775
Wan Chai Central Plaza,2,7,114.1736,22.28
Wong Tai Sin Wong Tai Sin Temple ,2,7,114.1939,22.34166
 Central Star Ferry Pier Central,2,7,114.1613,22.28715
 Lam Tsuen Lam Tsuen Wishing Trees ,2,7,114.1426,22.45653
Kwai Chung Hong Kong International Terminals Limited HIT ,2,7,114.1368,22.32703
Victoria Harbour,2,7,114.1782,22.29025
 Victoria Harbour Hong Kong Station,2,8,114.1896,22.28068
Repulse Bay ,2,8,114.1971,22.23716
Ngong Ping Po Lin Monastery,2,8,113.9079,22.25552
Stanley Murray House ,2,8,114.2098,22.21812
 Chek Lap Kok Hong Kong International Airport,2,8,113.9185,22.30805
Sydney Sydney Opera House,2,8,151.2151,-33.8572
 Sydney Martin Place Hyde Park,2,8,151.2096,-33.86769
Sydney Rooftop of Museum of Contemporary Art overlooking Sydney Harbour Bridge ,2,8,151.2108,-33.85231
Sydney Bridge Climb Sydney,2,9,151.207,-33.86749
Woolloomooloo Harry's Cafe de Wheels ,2,9,151.2202,-33.86924
Sydney Harbour Bridge,2,9,151.2108,-33.85231
Sydney Airport ,2,9,151.1753,-33.93992
Adelaide National Jet Systems Terminal,2,9,138.6,-34.92862
 Adelaide Adelaide International Airport ,2,9,138.5332,-34.94616
Coober Pedy Metal Tree,2,9,134.7545,-29.01324
 Coober Pedy Opal Quest Mine ,2,9,134.7545,-29.01324
Breakaways National Park,2,9,141.9051,-38.08447
Breakaways National Park,2,9,141.9051,-38.08447
Glendambo Airstrip,2,10,135.7499,-30.96941
 Adelaide Adelaide International Airport,2,10,138.5332,-34.94616
Queenstown Shotover River ,2,10,168.6556,-44.62133
Gibbston Valley ,2,10,174.9294,-36.95825
Nevis River ,2,10,169.0367,-45.06156
Mount Somers Canterbury Plains  Inverary Sheep Station  ,2,10,171.4001,-43.70431
 Picton Interislander Picton Ferry Terminal,2,11,174.0051,-41.28492
Rotorua Maori Arts  Crafts Institute,2,11,176.2497,-38.13685
Mount Tarawera ,2,11,176.5067,-38.22667
Waitomo Caves The Lost World ,2,11,175.1145,-38.26153
Woodhill Auckland ,2,11,174.4672,-36.76808
Auckland Ardmore Airport  Warbirds Hangar ,2,11,174.7633,-36.84846
Auckland Sir John Logan Campbell Monument,2,12,174.7633,-36.84846
 Auckland Auckland Airport ,2,12,174.785,-37.00825
Old Maui High School,2,12,-156.3694,20.90333
Haiku Pauwela Pauwela Pineapple Field ,2,12,-156.3125,20.92056
 Maalaea McGregor Point to Molokini ,2,12,-156.4954,20.63095
Mokulau Huialoha Church ,2,12,-156.1133,20.64
Hana Bay,2,13,-155.9824,20.7597
 Kahului Kahului Airport ,2,13,-156.4329,20.89679
Anchorage Rust's Flying Service,2,13,-149.971,61.17864
 Anchorage Lake Hood Strip,2,13,-149.9861,61.18422
Big Lake Homesteader's Hardware Store (Address from here: http://www.usaypage.com/hardware-stores-category/alaska-big-lake/homesteaders-lumber-hardware-p107.html),2,13,-149.8911,61.5375
Hurricane Gulch ,2,13,-116.0052,47.64409
Ted Stevens Anchorage International Airport ,2,13,-149.9901,61.17589
San Francisco Landmark 97 Atkinson Esher House,2,13,-122.4194,37.77493
San Francisco Municipal Pier,2,13,-122.4946,37.63339
Sausalito Murray Circle on East Fort Baker overlooking Golden Gate Bridge ,2,13,-122.4796,37.83571
Everglades National Park Florida United States  ,3,1,-80.89865,25.28662
Miami International Airport ,3,1,-80.28705,25.79586
